CHEWY_PRODUCT_PART_NUMBER,reporting_week_month,region,fill_rate,on_hand_units,forecast_units
CW500024,2024-09,TX,0.932,332,217
CW500024,2024-09,MTN,0.981,287,164
CW500024,2024-09,PSW,0.996,95,180
CW500024,2024-09,PNW,0.941,180,213
CW500024,2024-10,NE,0.97,319,180
CW500024,2024-10,MA,0.946,206,126
CW500024,2024-10,SE,0.962,73,126
CW500024,2024-10,MW,0.948,192,153
CW500024,2024-10,TX,0.95,84,177
CW500024,2024-10,MTN,0.972,155,161
CW500024,2024-10,PSW,0.986,97,153
CW500024,2024-10,PNW,0.965,150,186
CW500024,2024-11,NE,0.956,85,157
CW500024,2024-11,MA,0.981,88,107
CW500024,2024-11,SE,0.981,69,113
CW500024,2024-11,MW,0.988,156,131
CW500024,2024-11,TX,0.963,167,172
CW500024,2024-11,MTN,0.965,293,153
CW500024,2024-11,PSW,0.958,209,151
CW500024,2024-11,PNW,0.955,168,169
CW500024,2024-12,NE,0.999,196,166
CW500024,2024-12,MA,0.943,176,116
CW500024,2024-12,SE,0.951,198,111
CW500024,2024-12,MW,0.997,202,112
CW500024,2024-12,TX,0.995,189,158
CW500024,2024-12,MTN,0.998,153,138
CW500024,2024-12,PSW,0.972,180,138
CW500024,2024-12,PNW,0.996,80,150
CW500024,2025-01,NE,0.995,224,161
CW500024,2025-01,MA,0.99,217,119
CW500024,2025-01,SE,0.99,209,119
CW500024,2025-01,MW,0.972,174,124
CW500024,2025-01,TX,0.943,299,183
CW500024,2025-01,MTN,0.961,165,149
CW500024,2025-01,PSW,0.942,93,155
CW500024,2025-01,PNW,0.97,133,153
CW500024,2025-02,NE,0.965,323,179
CW500024,2025-02,MA,0.968,95,126
CW500024,2025-02,SE,0.971,276,144
CW500024,2025-02,MW,0.983,109,154
CW500024,2025-02,TX,0.971,346,182
CW500024,2025-02,MTN,0.965,207,162
CW500024,2025-02,PSW,0.956,225,149
CW500024,2025-02,PNW,0.939,87,177
CW500024,2025-03,NE,0.963,301,206
CW500024,2025-03,MA,0.931,283,157
CW500024,2025-03,SE,0.97,132,153
CW500024,2025-03,MW,0.938,220,170
CW500024,2025-03,TX,0.974,348,214
CW500024,2025-03,MTN,0.97,147,187
CW500024,2025-03,PSW,0.948,139,184
CW500024,2025-03,PNW,0.984,413,214
CW500024,2025-04,NE,0.969,162,234
CW500024,2025-04,MA,0.982,251,173
CW500024,2025-04,SE,0.965,248,184
CW500024,2025-04,MW,0.956,319,188
CW500024,2025-04,TX,0.994,377,226
CW500024,2025-04,MTN,0.932,244,210
CW500024,2025-04,PSW,0.985,208,189
CW500024,2025-04,PNW,0.946,134,237
CW500024,2025-05,NE,0.988,368,243
CW500024,2025-05,MA,0.956,135,189
CW500024,2025-05,SE,0.932,162,201
CW500024,2025-05,MW,0.946,273,200
CW500024,2025-05,TX,0.99,234,260
CW500024,2025-05,MTN,0.992,247,237
CW500024,2025-05,PSW,0.947,147,213
CW500024,2025-05,PNW,0.968,433,247
CW500024,2025-06,NE,0.935,407,290
CW500024,2025-06,MA,0.986,116,174
CW500024,2025-06,SE,0.937,259,195
CW500024,2025-06,MW,0.991,148,200
CW500024,2025-06,TX,0.952,145,300
CW500024,2025-06,MTN,0.934,147,257
CW500024,2025-06,PSW,0.938,214,253
CW500024,2025-06,PNW,1.0,262,245
CW500024,2025-07,NE,0.979,392,262
CW500024,2025-07,MA,0.996,344,187
CW500024,2025-07,SE,0.94,256,201
CW500024,2025-07,MW,0.954,186,212
CW500024,2025-07,TX,0.972,484,255
CW500024,2025-07,MTN,0.988,393,223
CW500024,2025-07,PSW,0.969,330,227
CW500024,2025-07,PNW,0.988,158,270
CW500024,2025-08,NE,0.967,467,257
CW500024,2025-08,MA,0.932,246,170
CW500024,2025-08,SE,0.972,347,190
CW500024,2025-08,MW,0.988,275,196
CW500024,2025-08,TX,0.937,204,270
CW500024,2025-08,MTN,0.945,228,214
CW500024,2025-08,PSW,0.969,347,212
CW500024,2025-08,PNW,0.983,445,234
CW500024,2025-09,NE,0.973,209,211
CW500024,2025-09,MA,0.965,96,164
CW500024,2025-09,SE,0.973,277,172
CW500024,2025-09,MW,0.964,249,170
CW500024,2025-09,TX,0.967,368,227
CW500024,2025-09,MTN,0.939,150,208
CW500024,2025-09,PSW,0.988,172,174
CW500024,2025-09,PNW,0.946,292,240
CW500024,2025-10,NE,0.978,251,193
CW500024,2025-10,MA,0.953,179,142
CW500024,2025-10,SE,0.944,244,140
CW500024,2025-10,MW,0.979,149,141
CW500024,2025-10,TX,0.95,220,192
CW500024,2025-10,MTN,0.932,148,160
CW500024,2025-10,PSW,0.998,197,163
CW500024,2025-10,PNW,0.985,301,190
CW500024,2025-11,NE,0.981,265,164
CW500024,2025-11,MA,0.996,139,126
CW500024,2025-11,SE,0.961,201,132
CW500024,2025-11,MW,0.941,118,138
CW500024,2025-11,TX,0.993,240,160
CW500024,2025-11,MTN,0.951,203,145
CW500024,2025-11,PSW,0.952,114,139
CW500024,2025-11,PNW,0.939,219,174
CW500024,2025-12,NE,0.931,147,170
CW500024,2025-12,MA,0.935,167,120
CW500024,2025-12,SE,0.936,194,122
CW500024,2025-12,MW,0.979,161,135
CW500024,2025-12,TX,0.964,201,172
CW500024,2025-12,MTN,0.953,94,160
CW500024,2025-12,PSW,0.946,104,156
CW500024,2025-12,PNW,0.981,138,172
CW500027,2024-01,NE,0.958,69,67
CW500027,2024-01,MA,0.958,26,51
CW500027,2024-01,SE,0.961,34,69
CW500027,2024-01,MW,0.941,93,74
CW500027,2024-01,TX,0.967,36,69
CW500027,2024-01,MTN,0.969,32,61
CW500027,2024-01,PSW,0.947,122,65
CW500027,2024-01,PNW,0.939,45,71
CW500027,2024-02,NE,0.968,147,77
CW500027,2024-02,MA,0.938,110,59
CW500027,2024-02,SE,0.97,126,72
CW500027,2024-02,MW,0.945,66,83
CW500027,2024-02,TX,0.991,137,73
CW500027,2024-02,MTN,0.97,76,70
CW500027,2024-02,PSW,0.956,96,63
CW500027,2024-02,PNW,0.936,65,80
CW500027,2024-03,NE,0.99,60,96
CW500027,2024-03,MA,0.971,116,64
CW500027,2024-03,SE,0.937,63,86
CW500027,2024-03,MW,0.941,133,88
CW500027,2024-03,TX,0.995,106,94
CW500027,2024-03,MTN,0.947,90,80
CW500027,2024-03,PSW,0.948,128,83
CW500027,2024-03,PNW,0.962,68,91
CW500027,2024-04,NE,0.975,182,112
CW500027,2024-04,MA,0.979,55,65
CW500027,2024-04,SE,0.966,168,103
CW500027,2024-04,MW,0.936,215,116
CW500027,2024-04,TX,0.94,114,103
CW500027,2024-04,MTN,0.938,66,96
CW500027,2024-04,PSW,0.994,176,92
CW500027,2024-04,PNW,0.941,52,111
CW500027,2024-05,NE,0.987,122,108
CW500027,2024-05,MA,0.936,136,81
CW500027,2024-05,SE,0.98,85,113
CW500027,2024-05,MW,0.957,175,115
CW500027,2024-05,TX,0.963,87,112
CW500027,2024-05,MTN,0.969,68,91
CW500027,2024-05,PSW,0.957,164,97
CW500027,2024-05,PNW,0.98,158,113
CW500027,2024-06,NE,0.934,87,128
CW500027,2024-06,MA,0.959,109,80
CW500027,2024-06,SE,0.996,88,101
CW500027,2024-06,MW,0.995,165,115
CW500027,2024-06,TX,0.963,175,112
CW500027,2024-06,MTN,0.938,97,106
CW500027,2024-06,PSW,0.945,59,109
CW500027,2024-06,PNW,0.968,194,117
CW500027,2024-07,NE,0.982,138,106
CW500027,2024-07,MA,0.983,128,71
CW500027,2024-07,SE,0.94,203,116
CW500027,2024-07,MW,0.993,214,109
CW500027,2024-07,TX,0.99,224,116
CW500027,2024-07,MTN,0.975,46,93
CW500027,2024-07,PSW,0.948,117,99
CW500027,2024-07,PNW,0.93,198,114
CW500027,2024-08,NE,0.968,126,103
CW500027,2024-08,MA,0.96,105,76
CW500027,2024-08,SE,0.968,67,97
CW500027,2024-08,MW,0.998,184,106
CW500027,2024-08,TX,0.981,128,113
CW500027,2024-08,MTN,0.99,143,93
CW500027,2024-08,PSW,0.999,178,93
CW500027,2024-08,PNW,0.943,56,106
CW500027,2024-09,NE,0.957,65,102
CW500027,2024-09,MA,0.93,68,70
CW500027,2024-09,SE,0.976,180,96
CW500027,2024-09,MW,0.988,153,94
CW500027,2024-09,TX,0.963,52,103
CW500027,2024-09,MTN,0.969,76,78
CW500027,2024-09,PSW,0.955,104,75
CW500027,2024-09,PNW,0.998,156,86
CW500027,2024-10,NE,0.976,88,91
CW500027,2024-10,MA,0.959,71,58
CW500027,2024-10,SE,0.945,111,84
CW500027,2024-10,MW,0.946,133,83
CW500027,2024-10,TX,0.974,157,85
CW500027,2024-10,MTN,0.944,75,72
CW500027,2024-10,PSW,0.968,101,69
CW500027,2024-10,PNW,0.963,43,83
CW500027,2024-11,NE,0.965,75,75
CW500027,2024-11,MA,0.984,94,50
CW500027,2024-11,SE,0.976,53,74
CW500027,2024-11,MW,0.998,143,79
CW500027,2024-11,TX,0.997,86,68
CW500027,2024-11,MTN,0.937,33,61
CW500027,2024-11,PSW,0.981,44,66
CW500027,2024-11,PNW,0.98,48,79
CW500027,2024-12,NE,0.941,105,76
CW500027,2024-12,MA,0.998,98,50
CW500027,2024-12,SE,0.972,63,73
CW500027,2024-12,MW,0.971,146,77
CW500027,2024-12,TX,0.999,77,70
CW500027,2024-12,MTN,0.934,98,59
CW500027,2024-12,PSW,0.969,79,62
CW500027,2024-12,PNW,0.96,100,73
CW500027,2025-01,NE,0.992,63,72
CW500027,2025-01,MA,0.944,61,57
CW500027,2025-01,SE,0.967,68,78
CW500027,2025-01,MW,0.978,120,72
CW500027,2025-01,TX,0.956,94,74
CW500027,2025-01,MTN,0.938,62,69
CW500027,2025-01,PSW,0.954,65,63
CW500027,2025-01,PNW,0.935,81,80
CW500027,2025-02,NE,0.939,67,93
CW500027,2025-02,MA,0.942,48,57
CW500027,2025-02,SE,0.961,46,76
CW500027,2025-02,MW,0.942,58,83
CW500027,2025-02,TX,0.958,119,83
CW500027,2025-02,MTN,0.985,130,72
CW500027,2025-02,PSW,0.947,128,70
CW500027,2025-02,PNW,0.98,147,83
CW500027,2025-03,NE,0.991,56,99
CW500027,2025-03,MA,0.994,116,69
CW500027,2025-03,SE,0.96,161,93
CW500027,2025-03,MW,0.933,120,95
CW500027,2025-03,TX,0.969,142,97
CW500027,2025-03,MTN,0.957,74,78
CW500027,2025-03,PSW,0.962,142,80
CW500027,2025-03,PNW,0.993,71,93
CW500027,2025-04,NE,0.985,133,107
CW500027,2025-04,MA,0.936,115,76
CW500027,2025-04,SE,0.987,91,106
CW500027,2025-04,MW,0.954,206,109
CW500027,2025-04,TX,0.933,67,111
CW500027,2025-04,MTN,0.982,152,94
CW500027,2025-04,PSW,0.97,89,91
CW500027,2025-04,PNW,1.0,164,112
CW500027,2025-05,NE,0.956,237,130
CW500027,2025-05,MA,0.968,97,87
CW500027,2025-05,SE,0.998,168,112
CW500027,2025-05,MW,0.985,148,112
CW500027,2025-05,TX,0.938,77,134
CW500027,2025-05,MTN,0.951,188,105
CW500027,2025-05,PSW,0.959,209,111
CW500027,2025-05,PNW,0.998,222,123
CW500027,2025-06,NE,0.942,171,140
CW500027,2025-06,MA,0.957,72,86
CW500027,2025-06,SE,0.974,221,115
CW500027,2025-06,MW,0.964,207,117
CW500027,2025-06,TX,1.0,105,128
CW500027,2025-06,MTN,0.969,132,111
CW500027,2025-06,PSW,0.944,89,111
CW500027,2025-06,PNW,0.967,155,116
CW500027,2025-07,NE,0.981,70,55
CW500027,2025-07,MA,0.982,64,35
CW500027,2025-07,SE,0.972,103,54
CW500027,2025-07,MW,0.997,55,54
CW500027,2025-07,TX,0.994,101,51
CW500027,2025-07,MTN,0.975,73,49
CW500027,2025-07,PSW,0.988,27,44
CW500027,2025-07,PNW,0.98,46,57
CW500027,2025-08,NE,0.984,47,47
CW500027,2025-08,MA,0.98,24,36
CW500027,2025-08,SE,0.953,76,47
CW500027,2025-08,MW,0.932,37,52
CW500027,2025-08,TX,0.934,90,57
CW500027,2025-08,MTN,0.937,58,48
CW500027,2025-08,PSW,0.955,56,42
CW500027,2025-08,PNW,0.947,66,48
CW500027,2025-09,NE,0.976,41,44
CW500027,2025-09,MA,0.942,17,32
CW500027,2025-09,SE,0.979,43,46
CW500027,2025-09,MW,0.993,23,44
CW500027,2025-09,TX,0.99,69,42
CW500027,2025-09,MTN,0.998,62,40
CW500027,2025-09,PSW,0.98,29,36
CW500027,2025-09,PNW,0.942,67,48
CW500027,2025-10,NE,0.998,56,41
CW500027,2025-10,MA,0.986,28,25
CW500027,2025-10,SE,0.936,26,38
CW500027,2025-10,MW,0.979,72,40
CW500027,2025-10,TX,0.989,26,39
CW500027,2025-10,MTN,0.977,55,31
CW500027,2025-10,PSW,0.94,50,36
CW500027,2025-10,PNW,0.973,22,38
CW500027,2025-11,NE,0.989,59,36
CW500027,2025-11,MA,0.94,15,26
CW500027,2025-11,SE,0.941,24,38
CW500027,2025-11,MW,0.986,26,36
CW500027,2025-11,TX,0.979,72,38
CW500027,2025-11,MTN,0.949,59,31
CW500027,2025-11,PSW,0.971,32,28
CW500027,2025-11,PNW,0.942,54,39
CW500027,2025-12,NE,0.976,38,34
CW500027,2025-12,MA,0.975,27,24
CW500027,2025-12,SE,0.95,19,35
CW500027,2025-12,MW,0.983,27,35
CW500027,2025-12,TX,0.993,54,36
CW500027,2025-12,MTN,0.992,21,31
CW500027,2025-12,PSW,0.993,31,31
CW500027,2025-12,PNW,0.991,27,31
CW500030,2024-01,NE,0.974,137,84
CW500030,2024-01,MA,0.942,75,68
CW500030,2024-01,SE,0.958,190,102
CW500030,2024-01,MW,0.966,163,88
CW500030,2024-01,TX,0.969,83,55
CW500030,2024-01,MTN,0.973,108,85
CW500030,2024-01,PSW,0.971,72,62
CW500030,2024-01,PNW,0.937,36,57
CW500030,2024-02,NE,0.97,105,89
CW500030,2024-02,MA,0.969,90,73
CW500030,2024-02,SE,0.932,133,119
CW500030,2024-02,MW,0.94,172,110
CW500030,2024-02,TX,0.974,64,63
CW500030,2024-02,MTN,0.939,138,94
CW500030,2024-02,PSW,0.994,95,70
CW500030,2024-02,PNW,0.987,76,65
CW500030,2024-03,NE,0.957,62,105
CW500030,2024-03,MA,0.964,114,85
CW500030,2024-03,SE,0.952,166,129
CW500030,2024-03,MW,0.989,182,109
CW500030,2024-03,TX,0.992,97,71
CW500030,2024-03,MTN,0.959,167,117
CW500030,2024-03,PSW,0.961,50,86
CW500030,2024-03,PNW,0.969,47,71
CW500030,2024-04,NE,0.938,101,120
CW500030,2024-04,MA,0.931,177,106
CW500030,2024-04,SE,0.932,142,145
CW500030,2024-04,MW,0.943,170,142
CW500030,2024-04,TX,0.952,122,83
CW500030,2024-04,MTN,0.986,165,123
CW500030,2024-04,PSW,0.994,141,102
CW500030,2024-04,PNW,0.97,162,89
CW500030,2024-05,NE,0.984,167,122
CW500030,2024-05,MA,0.981,78,112
CW500030,2024-05,SE,0.944,160,157
CW500030,2024-05,MW,0.988,252,134
CW500030,2024-05,TX,0.991,176,98
CW500030,2024-05,MTN,0.932,67,143
CW500030,2024-05,PSW,0.975,123,103
CW500030,2024-05,PNW,0.949,115,95
CW500030,2024-06,NE,0.968,250,136
CW500030,2024-06,MA,0.959,164,116
CW500030,2024-06,SE,0.96,94,164
CW500030,2024-06,MW,0.964,208,145
CW500030,2024-06,TX,0.965,138,96
CW500030,2024-06,MTN,0.933,132,155
CW500030,2024-06,PSW,0.981,168,117
CW500030,2024-06,PNW,0.97,63,91
CW500030,2024-07,NE,0.949,227,142
CW500030,2024-07,MA,0.94,189,121
CW500030,2024-07,SE,0.99,240,154
CW500030,2024-07,MW,0.941,176,145
CW500030,2024-07,TX,0.97,100,93
CW500030,2024-07,MTN,0.998,81,124
CW500030,2024-07,PSW,0.995,91,104
CW500030,2024-07,PNW,0.993,80,87
CW500030,2024-08,NE,0.951,179,130
CW500030,2024-08,MA,0.991,132,101
CW500030,2024-08,SE,0.957,107,150
CW500030,2024-08,MW,0.945,259,138
CW500030,2024-08,TX,0.977,65,92
CW500030,2024-08,MTN,0.933,229,124
CW500030,2024-08,PSW,0.93,99,103
CW500030,2024-08,PNW,0.954,149,91
CW500030,2024-09,NE,0.972,201,110
CW500030,2024-09,MA,0.937,174,104
CW500030,2024-09,SE,0.947,144,142
CW500030,2024-09,MW,0.995,95,124
CW500030,2024-09,TX,0.995,89,78
CW500030,2024-09,MTN,0.981,195,119
CW500030,2024-09,PSW,0.992,119,90
CW500030,2024-09,PNW,0.954,107,74
CW500030,2024-10,NE,0.999,92,88
CW500030,2024-10,MA,0.938,101,90
CW500030,2024-10,SE,0.959,99,122
CW500030,2024-10,MW,0.972,53,98
CW500030,2024-10,TX,0.994,52,63
CW500030,2024-10,MTN,0.987,172,102
CW500030,2024-10,PSW,0.949,99,75
CW500030,2024-10,PNW,0.962,93,70
CW500030,2024-11,NE,0.953,45,82
CW500030,2024-11,MA,0.994,134,69
CW500030,2024-11,SE,0.99,100,95
CW500030,2024-11,MW,0.965,160,103
CW500030,2024-11,TX,0.936,71,65
CW500030,2024-11,MTN,0.994,117,93
CW500030,2024-11,PSW,0.947,68,74
CW500030,2024-11,PNW,0.946,110,64
CW500030,2024-12,NE,0.957,68,79
CW500030,2024-12,MA,0.939,84,78
CW500030,2024-12,SE,0.974,133,92
CW500030,2024-12,MW,0.983,50,91
CW500030,2024-12,TX,0.944,94,66
CW500030,2024-12,MTN,0.995,67,91
CW500030,2024-12,PSW,0.984,86,69
CW500030,2024-12,PNW,0.941,99,61
CW500030,2025-01,NE,0.976,133,81
CW500030,2025-01,MA,0.985,73,77
CW500030,2025-01,SE,0.996,139,97
CW500030,2025-01,MW,0.964,99,97
CW500030,2025-01,TX,0.937,55,64
CW500030,2025-01,MTN,0.933,160,101
CW500030,2025-01,PSW,0.986,127,74
CW500030,2025-01,PNW,0.989,43,64
CW500030,2025-02,NE,0.991,112,91
CW500030,2025-02,MA,0.977,84,87
CW500030,2025-02,SE,0.996,217,117
CW500030,2025-02,MW,0.986,192,108
CW500030,2025-02,TX,0.985,40,69
CW500030,2025-02,MTN,0.978,188,107
CW500030,2025-02,PSW,0.951,38,76
CW500030,2025-02,PNW,0.94,59,73
CW500030,2025-03,NE,0.993,165,117
CW500030,2025-03,MA,0.936,140,107
CW500030,2025-03,SE,0.979,261,134
CW500030,2025-03,MW,0.962,225,132
CW500030,2025-03,TX,0.951,109,82
CW500030,2025-03,MTN,0.94,201,118
CW500030,2025-03,PSW,0.935,125,96
CW500030,2025-03,PNW,0.991,52,81
CW500030,2025-04,NE,0.94,140,126
CW500030,2025-04,MA,0.971,200,113
CW500030,2025-04,SE,0.938,264,152
CW500030,2025-04,MW,0.959,127,140
CW500030,2025-04,TX,0.97,187,98
CW500030,2025-04,MTN,0.963,198,146
CW500030,2025-04,PSW,0.941,131,115
CW500030,2025-04,PNW,0.939,150,91
CW500030,2025-05,NE,0.952,245,151
CW500030,2025-05,MA,0.977,129,118
CW500030,2025-05,SE,0.974,307,166
CW500030,2025-05,MW,0.955,283,169
CW500030,2025-05,TX,0.977,65,99
CW500030,2025-05,MTN,0.979,101,148
CW500030,2025-05,PSW,0.973,177,119
CW500030,2025-05,PNW,0.957,67,97
CW500030,2025-06,NE,0.959,222,140
CW500030,2025-06,MA,0.958,174,135
CW500030,2025-06,SE,0.936,91,181
CW500030,2025-06,MW,0.979,170,167
CW500030,2025-06,TX,0.983,152,110
CW500030,2025-06,MTN,0.941,282,160
CW500030,2025-06,PSW,0.968,59,117
CW500030,2025-06,PNW,0.934,179,103
CW500033,2024-01,NE,0.982,80,120
CW500033,2024-01,MA,0.944,174,104
CW500033,2024-01,SE,0.997,90,146
CW500033,2024-01,MW,0.986,222,114
CW500033,2024-01,TX,0.998,124,110
CW500033,2024-01,MTN,0.958,158,116
CW500033,2024-01,PSW,0.98,82,87
CW500033,2024-01,PNW,0.967,174,142
CW500033,2024-02,NE,0.942,147,135
CW500033,2024-02,MA,0.937,199,119
CW500033,2024-02,SE,0.955,85,166
CW500033,2024-02,MW,0.948,143,135
CW500033,2024-02,TX,0.967,105,141
CW500033,2024-02,MTN,0.986,131,142
CW500033,2024-02,PSW,0.933,73,113
CW500033,2024-02,PNW,0.966,297,163
CW500033,2024-03,NE,0.958,206,147
CW500033,2024-03,MA,0.974,126,123
CW500033,2024-03,SE,0.964,194,175
CW500033,2024-03,MW,0.943,184,151
CW500033,2024-03,TX,0.941,208,162
CW500033,2024-03,MTN,0.981,189,166
CW500033,2024-03,PSW,0.982,87,127
CW500033,2024-03,PNW,0.965,182,200
CW500033,2024-04,NE,0.968,291,160
CW500033,2024-04,MA,0.953,95,142
CW500033,2024-04,SE,0.961,318,213
CW500033,2024-04,MW,0.976,260,176
CW500033,2024-04,TX,0.97,250,164
CW500033,2024-04,MTN,0.951,337,197
CW500033,2024-04,PSW,0.996,116,129
CW500033,2024-04,PNW,0.943,322,212
CW500033,2024-05,NE,0.986,225,187
CW500033,2024-05,MA,0.934,321,173
CW500033,2024-05,SE,0.97,306,207
CW500033,2024-05,MW,0.947,272,173
CW500033,2024-05,TX,0.998,192,194
CW500033,2024-05,MTN,0.964,147,203
CW500033,2024-05,PSW,0.968,238,160
CW500033,2024-05,PNW,0.973,209,242
CW500033,2024-06,NE,0.983,221,205
CW500033,2024-06,MA,0.994,273,151
CW500033,2024-06,SE,0.986,117,233
CW500033,2024-06,MW,0.971,169,182
CW500033,2024-06,TX,0.993,114,200
CW500033,2024-06,MTN,0.932,330,207
CW500033,2024-06,PSW,0.992,255,151
CW500033,2024-06,PNW,0.961,243,229
CW500033,2024-07,NE,0.97,337,183
CW500033,2024-07,MA,0.961,292,156
CW500033,2024-07,SE,0.945,305,214
CW500033,2024-07,MW,0.932,230,199
CW500033,2024-07,TX,0.976,205,174
CW500033,2024-07,MTN,0.959,105,211
CW500033,2024-07,PSW,0.94,144,151
CW500033,2024-07,PNW,0.944,274,230
CW500033,2024-08,NE,0.983,217,182
CW500033,2024-08,MA,0.958,185,150
CW500033,2024-08,SE,0.935,175,224
CW500033,2024-08,MW,0.946,100,181
CW500033,2024-08,TX,0.976,286,162
CW500033,2024-08,MTN,0.992,207,180
CW500033,2024-08,PSW,0.932,162,155
CW500033,2024-08,PNW,0.99,248,225
CW500033,2024-09,NE,0.965,275,159
CW500033,2024-09,MA,0.979,159,135
CW500033,2024-09,SE,0.98,230,182
CW500033,2024-09,MW,0.992,249,137
CW500033,2024-09,TX,0.961,247,147
CW500033,2024-09,MTN,0.945,175,157
CW500033,2024-09,PSW,0.99,121,134
CW500033,2024-09,PNW,0.985,315,202
CW500033,2024-10,NE,0.931,128,141
CW500033,2024-10,MA,0.994,166,109
CW500033,2024-10,SE,0.934,176,162
CW500033,2024-10,MW,0.963,168,129
CW500033,2024-10,TX,1.0,92,128
CW500033,2024-10,MTN,0.955,80,151
CW500033,2024-10,PSW,0.98,181,112
CW500033,2024-10,PNW,0.996,199,168
CW500033,2024-11,NE,0.933,76,121
CW500033,2024-11,MA,0.968,88,100
CW500033,2024-11,SE,0.993,264,146
CW500033,2024-11,MW,0.947,180,133
CW500033,2024-11,TX,0.939,191,137
CW500033,2024-11,MTN,0.968,248,139
CW500033,2024-11,PSW,0.978,62,96
CW500033,2024-11,PNW,0.933,243,168
CW500033,2024-12,NE,0.958,234,130
CW500033,2024-12,MA,0.959,83,111
CW500033,2024-12,SE,0.971,145,144
CW500033,2024-12,MW,0.991,121,112
CW500033,2024-12,TX,0.988,66,115
CW500033,2024-12,MTN,0.946,140,121
CW500033,2024-12,PSW,0.94,171,92
CW500033,2024-12,PNW,0.973,171,146
CW500033,2025-01,NE,0.962,164,137
CW500033,2025-01,MA,0.972,173,106
CW500033,2025-01,SE,0.95,209,146
CW500033,2025-01,MW,0.944,140,133
CW500033,2025-01,TX,0.951,169,137
CW500033,2025-01,MTN,0.968,75,143
CW500033,2025-01,PSW,0.981,102,98
CW500033,2025-01,PNW,0.996,241,143
CW500033,2025-02,NE,0.947,92,140
CW500033,2025-02,MA,0.961,194,120
CW500033,2025-02,SE,0.998,278,167
CW500033,2025-02,MW,0.958,250,147
CW500033,2025-02,TX,0.967,245,140
CW500033,2025-02,MTN,0.937,205,143
CW500033,2025-02,PSW,0.975,102,115
CW500033,2025-02,PNW,0.967,189,171
CW500033,2025-03,NE,0.984,105,151
CW500033,2025-03,MA,0.938,67,141
CW500033,2025-03,SE,0.954,124,199
CW500033,2025-03,MW,0.965,268,165
CW500033,2025-03,TX,0.971,243,153
CW500033,2025-03,MTN,0.991,117,175
CW500033,2025-03,PSW,0.96,172,137
CW500033,2025-03,PNW,0.944,230,206
CW500033,2025-04,NE,0.99,98,172
CW500033,2025-04,MA,0.987,189,165
CW500033,2025-04,SE,0.95,154,213
CW500033,2025-04,MW,0.946,213,192
CW500033,2025-04,TX,0.965,339,193
CW500033,2025-04,MTN,0.979,344,197
CW500033,2025-04,PSW,0.989,83,137
CW500033,2025-04,PNW,0.962,402,224
CW500033,2025-05,NE,0.935,385,207
CW500033,2025-05,MA,0.974,333,171
CW500033,2025-05,SE,0.977,325,220
CW500033,2025-05,MW,0.981,190,188
CW500033,2025-05,TX,0.972,298,208
CW500033,2025-05,MTN,0.946,126,209
CW500033,2025-05,PSW,0.963,175,160
CW500033,2025-05,PNW,0.996,310,241
CW500033,2025-06,NE,0.995,329,216
CW500033,2025-06,MA,0.965,287,191
CW500033,2025-06,SE,0.955,310,270
CW500033,2025-06,MW,0.956,378,209
CW500033,2025-06,TX,0.934,152,204
CW500033,2025-06,MTN,0.946,183,210
CW500033,2025-06,PSW,0.94,305,184
CW500033,2025-06,PNW,0.941,369,272
CW500033,2025-07,NE,0.974,234,193
CW500033,2025-07,MA,0.966,267,174
CW500033,2025-07,SE,0.952,257,247
CW500033,2025-07,MW,0.937,301,186
CW500033,2025-07,TX,0.996,205,196
CW500033,2025-07,MTN,0.986,181,214
CW500033,2025-07,PSW,0.989,252,157
CW500033,2025-07,PNW,0.945,226,259
CW500033,2025-08,NE,0.98,319,191
CW500033,2025-08,MA,0.982,234,160
CW500033,2025-08,SE,0.991,282,220
CW500033,2025-08,MW,0.959,165,181
CW500033,2025-08,TX,0.964,341,190
CW500033,2025-08,MTN,0.939,289,206
CW500033,2025-08,PSW,0.963,232,154
CW500033,2025-08,PNW,0.942,229,250
CW500033,2025-09,NE,0.96,129,182
CW500033,2025-09,MA,0.958,128,151
CW500033,2025-09,SE,0.969,234,202
CW500033,2025-09,MW,0.987,88,167
CW500033,2025-09,TX,0.982,226,152
CW500033,2025-09,MTN,0.981,93,175
CW500033,2025-09,PSW,0.981,113,138
CW500033,2025-09,PNW,0.953,317,206
CW500033,2025-10,NE,0.982,130,151
CW500033,2025-10,MA,0.955,174,133
CW500033,2025-10,SE,0.968,144,172
CW500033,2025-10,MW,0.983,184,140
CW500033,2025-10,TX,0.975,264,139
CW500033,2025-10,MTN,0.998,224,143
CW500033,2025-10,PSW,0.994,161,108
CW500033,2025-10,PNW,0.944,127,186
CW500033,2025-11,NE,0.96,157,126
CW500033,2025-11,MA,0.938,136,123
CW500033,2025-11,SE,0.964,245,166
CW500033,2025-11,MW,0.935,139,137
CW500033,2025-11,TX,0.973,217,128
CW500033,2025-11,MTN,0.937,143,148
CW500033,2025-11,PSW,0.94,191,105
CW500033,2025-11,PNW,0.967,160,165
CW500033,2025-12,NE,0.977,233,120
CW500033,2025-12,MA,0.935,107,112
CW500033,2025-12,SE,0.946,243,155
CW500033,2025-12,MW,0.96,192,118
CW500033,2025-12,TX,0.954,113,122
CW500033,2025-12,MTN,0.945,203,150
CW500033,2025-12,PSW,0.96,117,110
CW500033,2025-12,PNW,0.981,282,152
